time,lat,long,accuracy,lat2,long2,accuracy2,type_of_disconnect,time_taken_to_regain,prev_bssid,new_bssid,prev_ip,new_ip
1507692396526,-33.9198867,151.23057707,4.0,-33.91986159,151.23058338,4.0,L3,1812,1c:e6:c7:f0:25:46,1c:e6:c7:5b:15:31,10.249.53.116,10.249.53.116
1507692397331,-33.91980295,151.22997068,3.0,-33.91986159,151.23058338,4.0,L4,52562,1c:e6:c7:5b:15:31,1c:e6:c7:5b:15:31,10.249.53.116,10.249.53.116
1507692465986,-33.91908992,151.23075953,3.0,-33.91907368,151.23076329,3.0,L3,1876,1c:e6:c7:5b:15:31,08:cc:68:b4:98:5a,10.249.53.116,10.249.53.116
1507692482334,-33.91890894,151.23078983,4.0,-33.91888752,151.23079971,3.0,L3,802,08:cc:68:b4:98:5a,08:cc:68:b5:86:8e,10.249.53.116,10.249.53.116
1507692483261,-33.91949665,151.23073133,5.0,-33.91888752,151.23079971,3.0,L4,51354,08:cc:68:b5:86:8e,08:cc:68:b5:86:8e,10.249.53.116,10.249.53.116
1507692576579,-33.91790796,151.23093728,3.0,-33.91787937,151.23093771,4.0,L3,1810,08:cc:68:b5:86:8e,08:cc:68:b5:8d:be,10.249.53.116,10.249.53.116
1507692577667,-33.91824869,151.2309137,3.0,-33.91787937,151.23093771,4.0,L4,39331,08:cc:68:b5:8d:be,08:cc:68:b5:8d:be,10.249.53.116,10.249.53.116
1507692705059,-33.91787237,151.23011378,3.0,-33.91786514,151.23006431,3.0,L4,3693,08:cc:68:b4:bf:fe,08:cc:68:b4:a8:fe,10.249.53.116,10.249.53.116
1507692737245,-33.91777927,151.22962243,3.0,-33.91777927,151.22962243,3.0,L4,1350,08:cc:68:b4:a8:fe,f8:c2:88:bd:f1:de,10.249.53.116,10.249.53.116
1507692749351,-33.91776296,151.22946309,3.0,-33.91776296,151.22946309,3.0,L4,1289,f8:c2:88:bd:f1:de,f8:c2:88:bd:f1:de,10.249.53.116,10.249.53.116
1507692776867,-33.91766447,151.22912807,4.0,-33.91766447,151.22912807,4.0,L3,764,f8:c2:88:bd:f1:de,1c:e6:c7:3e:da:b1,10.249.53.116,10.249.53.116
1507692777530,-33.91774352,151.2293436,3.0,-33.91766447,151.22912807,4.0,L4,18309,1c:e6:c7:3e:da:b1,1c:e6:c7:3e:da:b1,10.249.53.116,10.249.53.116
1507692812490,-33.91757695,151.22869882,3.0,-33.91756926,151.2286704,4.0,L4,1701,1c:e6:c7:3e:da:b1,08:cc:68:b4:51:de,10.249.53.116,10.249.53.116
1507692875838,-33.91745019,151.22784363,3.0,-33.9174522,151.2277939,3.0,L4,3170,08:cc:68:b4:51:de,d0:72:dc:53:63:ff,10.249.53.116,10.249.53.116
1507692953573,-33.91738287,151.22678956,3.0,-33.91738287,151.22678956,3.0,L3,794,1c:e6:c7:5b:92:17,1c:e6:c7:f0:20:1e,10.249.53.116,10.249.53.116
1507692995418,-33.9172795,151.22624071,3.0,-33.9172795,151.22624071,3.0,L4,1363,1c:e6:c7:f0:20:1e,1c:e6:c7:f0:20:1e,10.249.53.116,10.249.53.116
1507692996300,-33.9172795,151.22624071,3.0,-33.91728227,151.22623963,3.0,L4,1311,1c:e6:c7:f0:20:1e,1c:e6:c7:5b:68:06,10.249.53.116,10.249.53.116
1507693009565,-33.91726951,151.22622614,3.0,-33.91726413,151.22622494,3.0,L4,2167,1c:e6:c7:f0:20:1e,1c:e6:c7:5b:68:06,10.249.53.116,10.249.53.116
