time,lat,long,accuracy,lat2,long2,accuracy2,type_of_disconnect,time_taken_to_regain,prev_bssid,new_bssid,prev_ip,new_ip
1507693071986,-33.91724565,151.22623593,6.0,-33.91724604,151.22623302,5.0,L4,1429,1c:e6:c7:f0:20:16,1c:e6:c7:f0:20:16,10.249.53.116,10.249.53.116
1507693201047,-33.91739295,151.22785031,3.0,-33.91740814,151.22790058,3.0,L4,4918,1c:e6:c7:f0:20:16,1c:e6:c7:f0:20:16,10.249.53.116,10.249.53.116
1507693208210,-33.91743889,151.22798426,4.0,-33.91744514,151.2280213,3.0,L4,1564,1c:e6:c7:f0:20:16,1c:e6:c7:f0:20:16,10.249.53.116,10.249.53.116
1507693217359,-33.91744973,151.22805659,3.0,-33.91746583,151.22813722,3.0,L4,6521,1c:e6:c7:f0:20:16,1c:e6:c7:f0:20:16,10.249.53.116,10.249.53.116
1507693221288,-33.91746442,151.22816127,3.0,-33.91747372,151.22818586,4.0,L4,1911,1c:e6:c7:f0:20:16,1c:e6:c7:f0:20:16,10.249.53.116,10.249.53.116
1507693285609,-33.91753806,151.22896306,4.0,-33.91753806,151.22896306,4.0,L3,1765,1c:e6:c7:f0:20:16,08:cc:68:b4:9e:3e,10.249.53.116,10.249.53.116
1507693286805,-33.91748648,151.22822461,3.0,-33.91752985,151.22900172,4.0,L4,62646,08:cc:68:b4:9e:3e,08:cc:68:b4:9e:3e,10.249.53.116,10.249.53.116
1507693306257,-33.91740597,151.2291468,5.0,-33.91738603,151.22916546,5.0,L4,1598,08:cc:68:b4:9e:3e,08:cc:68:b4:9e:3e,10.249.53.116,10.249.53.116
1507693320861,-33.91736902,151.22919593,5.0,-33.91736804,151.22919961,6.0,L4,1625,08:cc:68:b4:9e:3e,08:cc:68:b4:a3:de,10.249.53.116,10.249.53.116
1507693375515,-33.91742198,151.2299588,4.0,-33.91742198,151.2299588,4.0,L4,1751,08:cc:68:b4:a3:de,08:cc:68:b4:62:5e,10.249.53.116,10.249.53.116
1507693419567,-33.91713862,151.23031469,6.0,-33.91714047,151.23030308,7.0,L4,5669,08:cc:68:b4:62:5e,08:cc:68:b5:f1:0e,10.249.53.116,10.249.53.116
1507693430492,-33.91712695,151.23039518,9.0,-33.91707434,151.23043498,17.0,L4,5809,08:cc:68:b5:f1:0e,08:cc:68:b5:92:fe,10.249.53.116,10.249.53.116
1507693458297,-33.91706805,151.23084229,3.0,-33.91704685,151.23089389,3.0,L4,3973,08:cc:68:b5:92:fe,08:cc:68:b4:98:be,10.249.53.116,10.249.53.116
1507693518850,-33.9168142,151.23106242,3.0,-33.91663471,151.23103072,3.0,L4,18133,08:cc:68:b4:98:be,34:6f:90:c3:50:ae,10.249.53.116,10.249.53.116
1507693525316,-33.91660833,151.23103646,3.0,-33.91657242,151.23103712,3.0,L4,3720,34:6f:90:c3:50:ae,34:6f:90:c3:50:ae,10.249.53.116,10.249.53.116
1507693546769,-33.91651626,151.23103273,4.0,-33.91634043,151.23093446,3.0,L4,14617,34:6f:90:c3:50:ae,34:6f:90:c2:d5:ae,10.249.53.116,10.249.53.116
1507693723871,-33.91587621,151.2291217,11.0,-33.91584085,151.2290894,10.0,L3,1760,34:6f:90:c2:d5:ae,50:06:04:2f:5a:af,10.249.53.116,10.249.53.116
1507693724892,-33.91608745,151.23074255,5.0,-33.91584085,151.2290894,10.0,L4,146044,50:06:04:2f:5a:af,50:06:04:2f:5a:af,10.249.53.116,10.249.53.116
1507693798806,-33.91575132,151.22846466,9.0,-33.91575397,151.22848117,10.0,L3,5209,50:06:04:2f:5a:af,08:cc:68:b4:8e:1f,10.249.53.116,10.249.53.116
1507693799783,-33.91573953,151.22840358,7.0,-33.91575373,151.22847657,11.0,L4,17186,08:cc:68:b4:8e:1f,08:cc:68:b4:8e:1f,10.249.53.116,10.249.53.116
1507693882497,-33.91555136,151.2274377,5.0,-33.91547995,151.22711691,3.0,L4,23394,08:cc:68:b4:8e:1f,08:cc:68:b4:9a:cf,10.249.53.116,10.249.53.116
1507693886762,-33.91547644,151.22709757,3.0,-33.91548407,151.22708654,4.0,L4,2787,08:cc:68:b4:9a:cf,08:cc:68:b4:9a:cf,10.249.53.116,10.249.53.116
1507693897439,-33.91549076,151.22706802,3.0,-33.91553718,151.22695676,3.0,L4,8620,08:cc:68:b4:9a:cf,08:cc:68:b4:9b:2e,10.249.53.116,10.249.53.116
1507694044651,-33.91680434,151.22653113,3.0,-33.91690902,151.22654851,7.0,L3,14792,08:cc:68:b4:9b:2e,1c:e6:c7:0d:9d:76,10.249.53.116,10.249.53.116
1507694045655,-33.91659884,151.22642285,3.0,-33.91690902,151.22654851,7.0,L4,35108,1c:e6:c7:0d:9d:76,1c:e6:c7:0d:9d:76,10.249.53.116,10.249.53.116
1507694053227,-33.9169549,151.22651141,10.0,-33.91696424,151.22652116,11.0,L4,2755,1c:e6:c7:0d:9d:76,1c:e6:c7:0d:9d:76,10.249.53.116,10.249.53.116
1507694075566,-33.91706865,151.22650346,4.0,-33.91724197,151.22645221,3.0,L4,15845,1c:e6:c7:0d:9d:76,1c:e6:c7:0d:9d:76,10.249.53.116,10.249.53.116
1507694109205,-33.9172358,151.22640334,3.0,-33.91723577,151.22640335,3.0,L3,1702,1c:e6:c7:0d:9d:76,1c:e6:c7:f0:20:11,10.249.53.116,10.249.53.116
1507694110253,-33.91723936,151.22643859,4.0,-33.91724389,151.226416,3.0,L4,32119,1c:e6:c7:f0:20:11,1c:e6:c7:f0:20:11,10.249.53.116,10.249.53.116
