time,lat,long,AdjustedStrength,strength
1.50769E+12,-33.91695241,151.2291368,42,-86
1.50769E+12,-33.91692171,151.2291625,43,-85
1.50769E+12,-33.91691187,151.2291811,43,-85
1.50769E+12,-33.91690718,151.2291981,48,-80
1.50769E+12,-33.91689434,151.2292082,48,-80
1.50769E+12,-33.91689473,151.2292122,48,-80
1.50769E+12,-33.91689589,151.2292108,48,-80
1.50769E+12,-33.91689515,151.2292115,49,-79
1.50769E+12,-33.91689471,151.2292125,53,-75
1.50769E+12,-33.91689189,151.229215,54,-74
1.50769E+12,-33.91689062,151.2292161,54,-74
1.50769E+12,-33.91689067,151.2292161,54,-74
1.50769E+12,-33.91689071,151.2292161,54,-74
1.50769E+12,-33.91689029,151.2292164,54,-74
1.50769E+12,-33.91689074,151.229216,54,-74
1.50769E+12,-33.91690841,151.2291958,54,-74
1.50769E+12,-33.91690237,151.2291918,42,-86
1.50769E+12,-33.91693581,151.2291372,42,-86
1.50769E+12,-33.91696209,151.2290369,41,-87
1.50769E+12,-33.91691619,151.2289885,44,-84
1.50769E+12,-33.91686943,151.2288496,44,-84
1.50769E+12,-33.9168607,151.2288237,1,-127
1.50769E+12,-33.91685558,151.2288268,1,-127
1.50769E+12,-33.91680438,151.2289561,59,-69
1.50769E+12,-33.91680055,151.2289914,59,-69
1.50769E+12,-33.91678129,151.2289949,59,-69
1.50769E+12,-33.91676663,151.2289825,59,-69
1.50769E+12,-33.91677535,151.2289655,59,-69
1.50769E+12,-33.91683414,151.2289692,59,-69
1.50769E+12,-33.91686103,151.228803,59,-69
1.50769E+12,-33.91690428,151.228758,59,-69
1.50769E+12,-33.91692762,151.2287352,59,-69
1.50769E+12,-33.9169197,151.2287255,59,-69
1.50769E+12,-33.91690709,151.2287009,59,-69
1.50769E+12,-33.91684266,151.228653,59,-69
1.50769E+12,-33.91684472,151.2286447,59,-69
1.50769E+12,-33.91689394,151.2286185,59,-69
1.50769E+12,-33.91693537,151.228605,59,-69
1.50769E+12,-33.91696302,151.2286137,59,-69
1.50769E+12,-33.9169944,151.2286197,59,-69
1.50769E+12,-33.91700213,151.2286195,59,-69
1.50769E+12,-33.91703954,151.2286189,59,-69
1.50769E+12,-33.91707196,151.228615,59,-69
1.50769E+12,-33.91708231,151.2286133,59,-69
1.50769E+12,-33.91712449,151.2286368,59,-69
1.50769E+12,-33.91712655,151.2286237,59,-69
1.50769E+12,-33.91713021,151.2286098,59,-69
1.50769E+12,-33.91709041,151.2286014,59,-69
1.50769E+12,-33.91706199,151.2285994,59,-69
1.50769E+12,-33.91700145,151.2285617,59,-69
1.50769E+12,-33.91695394,151.2285124,59,-69
1.50769E+12,-33.91692436,151.2284837,59,-69
1.50769E+12,-33.91687857,151.2284269,59,-69
1.50769E+12,-33.91682045,151.2283724,59,-69
1.50769E+12,-33.91680279,151.2283495,59,-69
1.50769E+12,-33.91677406,151.2283143,59,-69
1.50769E+12,-33.9167605,151.2282621,59,-69
1.50769E+12,-33.91673543,151.2282048,59,-69
1.50769E+12,-33.91673635,151.2281913,59,-69
1.50769E+12,-33.91670088,151.2282044,59,-69
1.5077E+12,-33.91667132,151.2282094,59,-69
1.5077E+12,-33.91666904,151.2282096,59,-69
1.5077E+12,-33.91666866,151.2282097,59,-69
1.5077E+12,-33.91700348,151.2272696,59,-69
1.5077E+12,-33.91705127,151.2272045,59,-69
1.5077E+12,-33.9170986,151.2272322,59,-69
1.5077E+12,-33.91711772,151.2272183,59,-69
1.5077E+12,-33.91715892,151.2273006,59,-69
1.5077E+12,-33.91715848,151.2273009,1,-127
1.5077E+12,-33.91716376,151.2273225,65,-63
1.5077E+12,-33.91716551,151.2273247,65,-63
1.5077E+12,-33.9171656,151.2273279,65,-63
1.5077E+12,-33.91716571,151.2273272,65,-63
1.5077E+12,-33.91716571,151.2273272,65,-63
1.5077E+12,-33.9174023,151.2278845,65,-63
1.5077E+12,-33.91725629,151.2279504,65,-63
1.5077E+12,-33.9172868,151.2279817,65,-63
1.5077E+12,-33.91731532,151.2280375,65,-63
1.5077E+12,-33.91734903,151.2280952,65,-63
1.5077E+12,-33.91736978,151.2281294,65,-63
1.5077E+12,-33.91736569,151.2281637,65,-63
1.5077E+12,-33.91738432,151.2281921,65,-63
1.5077E+12,-33.91742339,151.2282298,65,-63
1.5077E+12,-33.91742336,151.228282,65,-63
1.5077E+12,-33.91743224,151.2283182,65,-63
1.5077E+12,-33.91745124,151.228406,65,-63
1.5077E+12,-33.91743896,151.2285465,71,-57
1.5077E+12,-33.91743749,151.2285967,71,-57
1.5077E+12,-33.91744017,151.2286446,71,-57
1.5077E+12,-33.91745642,151.2286998,60,-68
1.5077E+12,-33.91743408,151.2287778,58,-70
1.5077E+12,-33.91745611,151.2288158,58,-70
1.5077E+12,-33.917473,151.2288398,58,-70
1.5077E+12,-33.9174917,151.2288603,58,-70
1.5077E+12,-33.91752248,151.2288946,58,-70
1.5077E+12,-33.91760902,151.2289493,58,-70
1.5077E+12,-33.91762642,151.2289596,58,-70
1.5077E+12,-33.9176578,151.2289676,58,-70
1.5077E+12,-33.91770115,151.228971,58,-70
1.5077E+12,-33.91772856,151.2289816,58,-70
1.5077E+12,-33.91775738,151.2290058,58,-70
1.5077E+12,-33.91779969,151.2290337,58,-70
1.5077E+12,-33.91781981,151.2290459,58,-70
1.5077E+12,-33.91783821,151.2290563,58,-70
1.5077E+12,-33.9178681,151.229077,58,-70
1.5077E+12,-33.91792062,151.2291025,58,-70
1.5077E+12,-33.91793819,151.229121,58,-70
1.5077E+12,-33.91793294,151.2290863,58,-70
1.5077E+12,-33.91793559,151.2291072,58,-70
1.5077E+12,-33.91793891,151.2291282,58,-70
1.5077E+12,-33.91794006,151.2291354,58,-70
1.5077E+12,-33.9179256,151.2292554,1,-127
1.5077E+12,-33.91794437,151.2294345,52,-76
1.5077E+12,-33.91796442,151.2294672,52,-76
1.5077E+12,-33.91811516,151.2294994,52,-76
1.5077E+12,-33.91812976,151.2295196,52,-76
1.5077E+12,-33.91813539,151.2295764,52,-76
