time,lat,long,accuracy,num_uniwide_aps,strength,protocol,speed,freq,bssid,ip
1507693068194,-33.91724497,151.22623925,5.0,13,-76,n (MIMO-OFDM),108,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693073146,-33.91724604,151.22623302,5.0,17,-75,n (MIMO-OFDM),216,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693077225,-33.91724681,151.22625156,3.0,17,-76,n (MIMO-OFDM),216,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693081162,-33.91724266,151.22630203,3.0,15,-76,n (MIMO-OFDM),216,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693085027,-33.91724813,151.22634967,3.0,29,-74,n (MIMO-OFDM),216,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693089078,-33.91725696,151.22640439,4.0,31,-69,n (MIMO-OFDM),243,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693093221,-33.91726408,151.22646935,3.0,21,-75,n (MIMO-OFDM),270,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693097125,-33.91726196,151.22651339,3.0,27,-77,n (MIMO-OFDM),243,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693101161,-33.91727371,151.22656306,3.0,32,-75,n (MIMO-OFDM),216,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693105171,-33.91728074,151.22661465,3.0,26,-80,n (MIMO-OFDM),243,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693109038,-33.91728892,151.22666909,3.0,30,-82,n (MIMO-OFDM),162,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693113205,-33.91729248,151.2267078,3.0,31,-82,n (MIMO-OFDM),108,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693117200,-33.9172863,151.22676509,3.0,29,-83,n (MIMO-OFDM),162,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693121168,-33.91729863,151.22680746,3.0,31,-82,n (MIMO-OFDM),108,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693125204,-33.91731248,151.2268537,3.0,32,-84,n (MIMO-OFDM),81,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693129251,-33.91731198,151.2269092,3.0,34,-84,n (MIMO-OFDM),108,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693133098,-33.91732312,151.22697253,3.0,27,-85,n (MIMO-OFDM),81,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693137240,-33.91733229,151.2270371,3.0,26,-86,n (MIMO-OFDM),81,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693141261,-33.91733968,151.22709848,3.0,25,-88,g (OFDM),54,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693145322,-33.91734456,151.22715544,3.0,28,-88,g (OFDM),40,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693149311,-33.91734833,151.22722547,3.0,29,-87,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693153282,-33.91735496,151.22728342,3.0,26,-85,g (OFDM),54,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693157332,-33.91736653,151.22732916,3.0,29,-87,n (MIMO-OFDM),81,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693161291,-33.91736808,151.22738478,3.0,27,-88,n (MIMO-OFDM),81,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693165298,-33.91736257,151.22744128,3.0,25,-86,n (MIMO-OFDM),81,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693169332,-33.917367,151.22749625,3.0,33,-85,g (OFDM),54,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693173379,-33.91736626,151.22755019,3.0,37,-87,n (MIMO-OFDM),81,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693177373,-33.91737299,151.22759543,3.0,32,-90,g (OFDM),54,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693181338,-33.9173765,151.22763886,3.0,31,-88,g (OFDM),40,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693185352,-33.91738243,151.22769961,3.0,35,-90,g (OFDM),40,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693189381,-33.9173903,151.22775116,3.0,29,-90,g (OFDM),40,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693193335,-33.91739037,151.22780544,3.0,28,-89,g (OFDM),40,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693197353,-33.91739295,151.22785031,3.0,27,-91,g (OFDM),40,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693201400,-33.91740814,151.22790058,3.0,26,-91,g (OFDM),40,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693205270,-33.91743048,151.22796088,3.0,28,-90,g (OFDM),13,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693209332,-33.91744514,151.2280213,3.0,25,-89,g (OFDM),13,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693213386,-33.9174601,151.22808163,3.0,24,-89,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693217376,-33.91746583,151.22813722,3.0,24,-91,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693221413,-33.91747372,151.22818586,4.0,22,-90,g (OFDM),13,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693225467,-33.91748648,151.22822461,3.0,21,-91,g (OFDM),13,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693229521,-33.91749668,151.22828153,3.0,20,-91,g (OFDM),13,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693233427,-33.9175039,151.22833598,3.0,17,-90,g (OFDM),13,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693237373,-33.91750821,151.22838977,3.0,16,-89,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693241395,-33.91751926,151.2284447,4.0,24,-90,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693245390,-33.91750835,151.2284859,3.0,27,-90,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693249423,-33.9175124,151.22853722,3.0,21,-90,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693253406,-33.9174953,151.22857627,4.0,19,-89,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693257438,-33.91749247,151.22862296,4.0,25,-89,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693261291,-33.91749252,151.22867335,5.0,27,-89,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693265408,-33.91750122,151.22873718,4.0,27,-89,g (OFDM),27,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693269459,-33.91750872,151.22878992,4.0,29,-89,b (DSSS),6,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693273386,-33.9175275,151.2288345,4.0,22,-90,b (DSSS),6,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693277519,-33.91753806,151.22887035,3.0,21,-90,b (DSSS),6,5.0,1c:e6:c7:f0:20:16,10.249.53.116
1507693280706,-33.91754175,151.22891582,3.0,26,-127,b (DSSS),-1,0.0,00:00:00:00:00:00,
1507693289478,-33.91751938,151.2290217,4.0,17,-68,n (MIMO-OFDM),216,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507693293651,-33.91748136,151.22904966,3.0,24,-67,n (MIMO-OFDM),243,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507693297604,-33.91746008,151.22909479,4.0,25,-72,n (MIMO-OFDM),216,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507693301543,-33.91744122,151.2291205,5.0,29,-61,n (MIMO-OFDM),216,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507693305408,-33.91740597,151.2291468,5.0,30,-58,n (MIMO-OFDM),216,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507693309357,-33.91737425,151.22917827,4.0,32,-56,n (MIMO-OFDM),243,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507693313870,-33.91736937,151.22919235,4.0,32,-68,n (MIMO-OFDM),243,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507693317864,-33.91736902,151.22919593,5.0,32,-77,n (MIMO-OFDM),162,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507693323452,-33.91736761,151.2292001,6.0,36,-59,n (MIMO-OFDM),162,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693327562,-33.91737189,151.22921189,7.0,32,-52,n (MIMO-OFDM),162,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693331226,-33.9173737,151.22933672,7.0,33,-59,n (MIMO-OFDM),216,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693335224,-33.91736579,151.22944929,7.0,36,-63,n (MIMO-OFDM),162,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693339280,-33.9173624,151.22953719,6.0,38,-71,n (MIMO-OFDM),108,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693343266,-33.91735963,151.22957639,5.0,35,-69,n (MIMO-OFDM),108,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693347234,-33.91735779,151.22963211,5.0,30,-74,n (MIMO-OFDM),108,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693351346,-33.91737254,151.22968046,6.0,43,-73,n (MIMO-OFDM),108,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693355193,-33.91738781,151.22973801,6.0,42,-72,n (MIMO-OFDM),81,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693357175,-33.91740103,151.2297672,5.0,42,-74,g (OFDM),54,5.0,08:cc:68:b4:a3:de,10.249.53.116
1507693363356,-33.91741146,151.22985384,5.0,22,-56,ac (MIMO-OFDM),400,5.0,d0:72:dc:5c:0e:be,10.249.53.116
1507693367260,-33.91742074,151.22990419,5.0,22,-70,ac (MIMO-OFDM),400,5.0,d0:72:dc:5c:0e:be,10.249.53.116
1507693367799,-33.91742042,151.22991222,4.0,22,-70,ac (MIMO-OFDM),400,5.0,d0:72:dc:5c:0e:be,10.249.53.116
1507693373292,-33.91742161,151.22995455,4.0,25,-70,g (OFDM),54,5.0,08:cc:68:b4:62:5e,10.249.53.116
1507693377113,-33.91739022,151.23000238,3.0,35,-74,n (MIMO-OFDM),81,5.0,08:cc:68:b4:62:5e,10.249.53.116
1507693381082,-33.91735126,151.23006362,3.0,40,-61,n (MIMO-OFDM),108,5.0,08:cc:68:b4:62:5e,10.249.53.116
1507693385234,-33.91731218,151.23011541,3.0,43,-64,n (MIMO-OFDM),162,5.0,08:cc:68:b4:62:5e,10.249.53.116
1507693389275,-33.91724773,151.23018601,3.0,45,-57,n (MIMO-OFDM),216,5.0,08:cc:68:b4:62:5e,10.249.53.116
1507693393506,-33.91721031,151.23023255,4.0,43,-66,n (MIMO-OFDM),162,5.0,08:cc:68:b4:62:5e,10.249.53.116
1507693397435,-33.91718507,151.23025126,4.0,36,-67,n (MIMO-OFDM),162,5.0,08:cc:68:b4:62:5e,10.249.53.116
1507693401391,-33.91716363,151.23029792,3.0,35,-74,n (MIMO-OFDM),135,5.0,08:cc:68:b4:62:5e,10.249.53.116
1507693405350,-33.91714388,151.23033464,4.0,40,-75,g (OFDM),54,5.0,08:cc:68:b4:62:5e,10.249.53.116
