time,lat,long,accuracy,num_uniwide_aps,strength,protocol,speed,freq,bssid,ip
1507691102750,-33.9171341,151.2278554,22.61,5,-59,ac (MIMO-OFDM),324,5.0,84:78:ac:c0:52:a7,10.249.53.116
1507691342873,-33.91758517,151.22791167,12.0,23,-59,ac (MIMO-OFDM),360,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691348629,-33.91746838,151.22796061,7.0,26,-65,ac (MIMO-OFDM),324,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691352966,-33.91747651,151.2279779,6.0,25,-71,ac (MIMO-OFDM),324,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691356663,-33.9174948,151.22800414,5.0,26,-75,ac (MIMO-OFDM),324,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691360718,-33.91751452,151.22804601,5.0,20,-78,n (MIMO-OFDM),162,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691364666,-33.91750339,151.22804285,4.0,23,-79,n (MIMO-OFDM),162,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691368807,-33.91750032,151.22808904,4.0,25,-71,n (MIMO-OFDM),162,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691372786,-33.91752648,151.22815949,4.0,22,-77,n (MIMO-OFDM),216,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691376749,-33.91748613,151.22817528,3.0,23,-79,n (MIMO-OFDM),121,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691380876,-33.91747453,151.22821851,4.0,35,-84,n (MIMO-OFDM),81,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691384857,-33.91745997,151.22826961,4.0,32,-81,g (OFDM),54,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691388803,-33.91746277,151.22831552,4.0,25,-84,g (OFDM),54,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691392782,-33.9174643,151.22841167,4.0,30,-84,g (OFDM),27,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691395868,-33.91745779,151.22844809,3.0,30,-88,g (OFDM),27,5.0,d0:72:dc:53:63:ff,10.249.53.116
1507691400759,-33.91745873,151.22848478,4.0,31,-60,n (MIMO-OFDM),162,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691404749,-33.91745532,151.22852915,4.0,28,-64,n (MIMO-OFDM),162,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691412537,-33.91750229,151.22864434,4.0,26,-69,n (MIMO-OFDM),81,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691416746,-33.91751139,151.22868259,5.0,25,-67,n (MIMO-OFDM),81,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691421241,-33.91752022,151.22874425,5.0,25,-73,n (MIMO-OFDM),108,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691423824,-33.91753696,151.22880296,4.0,25,-74,n (MIMO-OFDM),81,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691429019,-33.91755522,151.22886883,5.0,27,-72,n (MIMO-OFDM),81,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691432778,-33.91755132,151.22890815,5.0,24,-76,n (MIMO-OFDM),81,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691436811,-33.91755588,151.22894878,4.0,24,-78,g (OFDM),40,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691440854,-33.91755589,151.22898068,4.0,28,-83,g (OFDM),54,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691443881,-33.91757384,151.22902359,4.0,28,-86,g (OFDM),54,5.0,08:cc:68:b4:51:de,10.249.53.116
1507691448974,-33.91759196,151.2290815,4.0,34,-70,g (OFDM),54,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507691452883,-33.91758803,151.22911749,3.0,37,-70,n (MIMO-OFDM),216,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507691455910,-33.91759107,151.22916937,3.0,37,-67,n (MIMO-OFDM),162,5.0,08:cc:68:b4:9e:3e,10.249.53.116
1507691460835,-33.91759133,151.22921038,3.0,34,-59,ac (MIMO-OFDM),162,2.0,08:cc:68:b4:9e:31,10.249.53.116
1507691464769,-33.9175923,151.22926505,3.0,35,-68,g (OFDM),52,2.0,08:cc:68:b4:9e:31,10.249.53.116
1507691467756,-33.91759398,151.22928899,3.0,35,-79,n (MIMO-OFDM),78,2.0,08:cc:68:b4:9e:31,10.249.53.116
1507691467880,-33.91760211,151.22931258,3.0,35,-79,n (MIMO-OFDM),78,2.0,08:cc:68:b4:9e:31,10.249.53.116
